organizationName,orgID,orgID_URL,orgSubtype,businessSector,busSect_description,busSectID,Business_ClassCode,EconomicSectID_URL,HQ_Address,HQ_PhoneNumber,orgURL,primaryTicker,hasHoldingClassification,LEI
Sanofi SA,5079903944,https://permid.org/1-5079903944,Company,Banking & Investment Services,"Providers of retail, commercial and investment banking, consumer financial services, investment services, commercial loans and diversified financial services.",4294952739,5510,https://permid.org/1-4294952740,"Tasmanweg 2


VENLO
LIMBURG
5928LH
Netherlands
",,,SAN,publiclyHeld,529900RTQQ0IIS4B3E03
Linde Finance BV,5076385165,https://permid.org/1-5076385165,Special Purpose Vehicle,Investment Holding Companies,"Organizations engaged in investing in securities/stakes of other companies and for their own profits. Investment Holding Companies might have both minority and majority stakes. Excludes companies investing in private equity firms, classified in Private Equity; companies investing in venture capital firms, classified in Venture Capital; companies operating through subsidiaries/majority-held entities in various economic segments, classified according to the dominant segment of activity or, in case of a significant size and lack of dominant segment, in Industrial Conglomerates; UK-type investment trusts, classified in UK Investment Trusts.",4294952737,5560,https://permid.org/1-4294952740,"Westerdoksdijk 423


AMSTERDAM
NOORD-HOLLAND
1013BX
Netherlands
",,,,,2138005GUMKABRAKJU30
Sgs Nederland Holding BV,5074854470,https://permid.org/1-5074854470,Bank/Financial Holding Company,Banking & Investment Services,"Providers of retail, commercial and investment banking, consumer financial services, investment services, commercial loans and diversified financial services.",4294952739,5510,https://permid.org/1-4294952740,"Keizersgracht 271
AMSTERDAM
NOORD-HOLLAND
1016ED
Netherlands
",31205567777,,,,25490079TX62U2IW2D78
LSEG Netherlands BV,5074857091,https://permid.org/1-5074857091,Unknown,Banking & Investment Services,"Providers of retail, commercial and investment banking, consumer financial services, investment services, commercial loans and diversified financial services.",4294952739,5510,https://permid.org/1-4294952740,"Weena 738 A
14E Verdieping - Zuidzijde
ROTTERDAM
ZUID-HOLLAND
3014DA
Netherlands
",,,,,549300M3FFATWSV78G84
Metsa Board Oyj,5076170784,https://permid.org/1-5076170784,Company,Banking & Investment Services,"Providers of retail, commercial and investment banking, consumer financial services, investment services, commercial loans and diversified financial services.",4294952739,5510,https://permid.org/1-4294952740,"Herikerbergweg 238
Luna ArenA

AMSTERDAM
NOORD-HOLLAND
1101CM
Netherlands
",31205755600,,METSB,publiclyHeld,724500H9M16IQI3B4W90
Arkema SA,5073639223,https://permid.org/1-5073639223,Company,Banking & Investment Services,"Providers of retail, commercial and investment banking, consumer financial services, investment services, commercial loans and diversified financial services.",4294952739,5510,https://permid.org/1-4294952740,"H.J.E. Wenckebachweg 127
AMSTERDAM
NOORD-HOLLAND
1096 AM
Netherlands
",,,AKE,publiclyHeld,5493003H2CB2KXPP7461
Simon International Finance GP SARL,4296765192,https://permid.org/1-4296765192,Unknown,Banking & Investment Services,"Providers of retail, commercial and investment banking, consumer financial services, investment services, commercial loans and diversified financial services.",4294952739,5510,https://permid.org/1-4294952740,"Chertsey Road


SUNBURY ON THAMES
MIDDLESEX
TW16 7BP
United Kingdom
",11441932762000,,,,549300CRVT18MXX0AG93
Simon International Finance GP SARL,5076948433,https://permid.org/1-5076948433,Unknown,Industrial & Commercial Services,"Providers of construction, engineering, commercial supply services, professional information services, as well as diversified trading and distribution operations.",4294952762,5220,https://permid.org/1-4294952767,"Johan Huizingalaan 759
AMSTERDAM
NOORD-HOLLAND
1066VH
Netherlands
",,,,,635400GVJAKOJNEUMF33
DSV Panalpina Finance BV,5000759495,https://permid.org/1-5000759495,Company,Industrial & Commercial Services,"Providers of construction, engineering, commercial supply services, professional information services, as well as diversified trading and distribution operations.",4294952762,5220,https://permid.org/1-4294952767,"Immeuble Be Issy 14-16 Boulevard Garibaldi
MALAKOFF
ILE-DE-FRANCE
92130
France
",33174317500,https://www.edenred.com/,,,9695006LOD5B2D7Y0N70
EasyJet FinCo BV,5076372727,https://permid.org/1-5076372727,Company,Industrial & Commercial Services,"Providers of construction, engineering, commercial supply services, professional information services, as well as diversified trading and distribution operations.",4294952762,5220,https://permid.org/1-4294952767,"C/O Diageo Plc
Lakeside Drive, Park Royal
LONDON
NW10 7HQ
United Kingdom
",,,,,213800YHFC48VOL6JY40
